Test_Year,Model,Feature,Importance
2023,TREE C - MARKET + SEC + FINBERT,categorical__Ticker_MSFT,0.08441887133155114
2023,TREE C - MARKET + SEC + FINBERT,categorical__Ticker_NFLX,0.0
2023,TREE C - MARKET + SEC + FINBERT,categorical__Ticker_NVDA,0.0
2023,TREE C - MARKET + SEC + FINBERT,categorical__Ticker_QCOM,0.0
2023,TREE C - MARKET + SEC + FINBERT,categorical__Ticker_TSLA,0.0
2023,TREE C - MARKET + SEC + FINBERT,binary__Has_EX99,0.0
2023,TREE C - MARKET + SEC + FINBERT,binary__Has_Event_Earnings,0.0
2023,TREE C - MARKET + SEC + FINBERT,binary__Has_Event_Guidance,0.0
2023,TREE C - MARKET + SEC + FINBERT,binary__Has_Event_Buyback,0.0
2023,TREE C - MARKET + SEC + FINBERT,binary__Has_Item_1_01,0.0
2023,TREE C - MARKET + SEC + FINBERT,binary__Has_Item_1_02,0.0
2023,TREE C - MARKET + SEC + FINBERT,binary__Has_Item_2_02,0.0
2023,TREE C - MARKET + SEC + FINBERT,binary__Has_Item_2_03,0.0
2023,TREE C - MARKET + SEC + FINBERT,binary__Has_Item_5_02,0.0
2023,TREE C - MARKET + SEC + FINBERT,binary__Has_Item_5_03,0.0
2023,TREE C - MARKET + SEC + FINBERT,binary__Has_Item_5_07,0.0
2023,TREE C - MARKET + SEC + FINBERT,binary__Has_Item_7_01,0.0
2023,TREE C - MARKET + SEC + FINBERT,binary__Has_Item_8_01,0.0
2023,TREE C - MARKET + SEC + FINBERT,binary__Has_Sentiment_History,0.0
2023,TREE C - MARKET + SEC + FINBERT,sentiment__Mean_Net_Sentiment,0.07236136121727493
2023,TREE C - MARKET + SEC + FINBERT,sentiment__Sentiment_Momentum_3,0.0
2024,TREE A - MARKET,numeric__Stock_vs_QQQ_1D,0.0
2024,TREE A - MARKET,numeric__Stock_vs_QQQ_3D,0.0
2024,TREE A - MARKET,numeric__Stock_vs_QQQ_5D,0.0
2024,TREE A - MARKET,numeric__Volatility_14D,0.06814444386932036
2024,TREE A - MARKET,numeric__Relative_Volume_20D,0.16722477869736566
2024,TREE A - MARKET,numeric__RSI_14,0.080501958568514
2024,TREE A - MARKET,numeric__Price_to_SMA20,0.0
2024,TREE A - MARKET,numeric__Intraday_Return,0.0
2024,TREE A - MARKET,numeric__Daily_Range,0.1125069013520383
2024,TREE A - MARKET,numeric__QQQ_Log_Return_1D,0.48316453931461956
2024,TREE A - MARKET,numeric__QQQ_Log_Return_3D,0.023511585242806787
2024,TREE A - MARKET,numeric__QQQ_Log_Return_5D,0.0
2024,TREE A - MARKET,numeric__QQQ_Volatility_14D,0.06494579295533538
2024,TREE A - MARKET,categorical__Ticker_AAPL,0.0
2024,TREE A - MARKET,categorical__Ticker_ADBE,0.0
2024,TREE A - MARKET,categorical__Ticker_AMD,0.0
2024,TREE A - MARKET,categorical__Ticker_AMZN,0.0
2024,TREE A - MARKET,categorical__Ticker_AVGO,0.0
2024,TREE A - MARKET,categorical__Ticker_GOOGL,0.0
2024,TREE A - MARKET,categorical__Ticker_INTC,0.0
2024,TREE A - MARKET,categorical__Ticker_META,0.0
2024,TREE A - MARKET,categorical__Ticker_MSFT,0.0
2024,TREE A - MARKET,categorical__Ticker_NFLX,0.0
